121,121,A$AP Rocky,male,31,person,US,n/a,n/a,n/a,Harlem,,
122,122,SZA,female,29,person,US,n/a,n/a,St. Louis,n/a,,
123,123,Arcangel,male,34,person,PR,n/a,n/a,New York,n/a,,
124,124,5 Seconds of Summer,mixed,9,group,AU,n/a,n/a,Sydney,n/a,,
125,125,Bastille,mixed,10,group,GB,n/a,n/a,London,n/a,,
126,126,Shakira,female,43,person,CO,n/a,n/a,Barranquilla,n/a,,
127,127,WizKid,male,30,person,,Lagos,n/a,Lagos,n/a,,
128,128,Hailee Steinfeld,female,23,person,US,n/a,n/a,Los Angeles,n/a,,
129,129,Jorge & Mateus,mixed,15,group,BR,n/a,n/a,n/a,n/a,,
130,130,Reik,mixed,17,group,MX,n/a,n/a,Mexicali,n/a,,
131,131,Yandel,male,43,person,PR,n/a,n/a,,,,
132,132,Rauw Alejandro,male,0,person,PR,n/a,n/a,San Juan,n/a,,
133,133,Cheat Codes,mixed,6,group,,Los Angeles,n/a,Los Angeles,n/a,,
134,134,Pharrell Williams,male,47,person,US,n/a,n/a,Virginia Beach,n/a,,
135,135,Ava Max,female,26,person,US,n/a,n/a,Milwaukee,n/a,,
136,136,DJ Luian,male,30,person,PR,n/a,n/a,Carolina,n/a,,
137,137,Jess Glynne,female,30,person,GB,n/a,n/a,n/a,Muswell Hill,,
138,138,Sean Paul,male,47,person,JM,n/a,n/a,n/a,n/a,,
139,139,Kyla,female,39,person,PH,n/a,n/a,Manila,n/a,,
140,140,Camilo,male,26,person,CO,n/a,n/a,Medellín,n/a,,
141,141,Julia Michaels,female,26,person,US,n/a,n/a,Davenport,n/a,,
142,142,Seeb,mixed,5,group,,Oslo,n/a,Oslo,n/a,,
143,143,Adele,female,32,person,GB,n/a,n/a,Tottenham,n/a,,
144,144,Zé Neto & Cristiano,mixed,9,group,BR,n/a,n/a,São José do Rio Preto,n/a,,
145,145,Florida Georgia Line,mixed,10,group,US,n/a,n/a,Nashville,n/a,,
146,146,BTS,mixed,7,group,KR,n/a,n/a,Seoul,n/a,,
147,147,OneRepublic,mixed,16,group,US,n/a,n/a,n/a,n/a,,
148,148,Metro Boomin,male,26,person,US,n/a,n/a,St. Louis,n/a,,
149,149,Enrique Iglesias,male,45,person,ES,n/a,n/a,Madrid,n/a,,
150,150,Matheus & Kauan,mixed,10,group,BR,n/a,n/a,n/a,n/a,,
151,151,Ninho,male,24,person,FR,n/a,n/a,Yerres,n/a,,
152,152,Trippie Redd,male,21,person,US,n/a,n/a,Canton,n/a,,
153,153,RAF Camora,male,36,person,AT,n/a,n/a,Vevey,n/a,,
154,154,Jonas Brothers,mixed,15,group,US,n/a,n/a,n/a,n/a,,
155,155,Mambo Kingz,mixed,0,group,PR,n/a,n/a,,,,
156,156,John Legend,male,41,person,US,n/a,n/a,Springfield,n/a,,
157,157,Pitbull,male,39,person,US,n/a,n/a,Miami,n/a,,
158,158,Fifth Harmony,mixed,7,group,US,n/a,n/a,Miami,n/a,Hollywood,n/a
159,159,Lil Pump,male,0,person,,n/a,n/a,,,,
